device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index,battery_health_percent
21,4000,4.7,8.4,31.9,22.3,2,0.6,15.1,Medium,Good,7,10.0,2.83,70.33
33,3000,8.9,14.2,30.3,32.0,2,4.3,1.8,High,Poor,7,10.0,2.72,63.32
46,4000,4.8,6.2,30.4,30.7,7,0.8,4.8,Low,Good,6,10.0,2.47,56.01
7,5000,5.1,7.2,30.7,42.7,7,3.9,6.9,Medium,Good,5,10.0,2.8,80.84
39,4500,3.9,4.9,30.6,21.9,5,2.8,9.0,Low,Good,7,10.0,2.69,59.41
48,3000,4.5,5.4,30.1,57.5,1,2.6,4.8,High,Good,8,10.0,2.55,56.63
43,5000,4.0,5.7,30.1,87.2,0,1.3,6.9,Medium,Good,8,10.0,2.45,55.38
18,4000,7.9,10.6,35.1,66.1,0,10.4,15.1,High,Poor,9,10.0,4.31,68.78
41,4500,2.8,4.1,27.2,82.7,7,2.3,5.0,Medium,Good,5,10.0,1.84,59.25
40,4000,7.1,12.6,33.8,53.1,4,5.4,12.8,Low,Poor,7,10.0,3.63,54.76
36,3000,7.2,11.4,30.4,24.5,6,3.5,13.8,Medium,Good,5,10.0,2.69,58.44
5,3000,8.3,11.8,33.7,36.2,1,4.9,22.0,High,Good,7,10.0,3.56,77.65
25,3000,5.6,7.7,27.9,19.7,7,8.4,6.6,Medium,Good,6,10.0,2.47,73.29
33,3000,3.4,4.8,30.6,75.3,1,1.3,4.4,Low,Good,7,10.0,2.57,62.98
44,3000,5.2,9.8,31.4,48.2,0,1.6,1.4,Low,Good,8,10.0,2.78,56.25
5,4000,6.7,8.9,33.1,70.1,5,2.1,13.3,High,Good,5,10.0,3.21,77.41
36,3000,5.7,8.5,36.2,70.8,5,8.3,12.1,High,Moderate,6,10.0,4.41,55.42
32,3000,6.2,9.8,33.4,58.7,0,5.7,9.5,Medium,Good,8,10.0,3.55,59.36
21,4500,8.2,13.6,30.0,26.6,5,2.9,11.6,Low,Good,6,10.0,2.54,68.38
20,3000,6.7,9.7,32.2,43.8,7,2.5,10.4,Low,Moderate,5,10.0,3.04,67.76
5,4500,5.9,7.9,35.9,10.0,2,2.2,8.0,Medium,Moderate,8,10.0,3.87,79.04
5,4500,1.8,3.0,30.5,13.0,1,4.3,8.3,Medium,Good,8,10.0,2.77,83.81
47,4500,3.9,7.2,30.4,45.7,7,8.1,9.5,High,Good,6,10.0,3.03,52.24
3,4000,4.7,6.8,33.1,70.1,2,4.6,22.3,High,Good,7,10.0,3.4,77.33
29,4000,1.5,3.0,27.7,81.8,3,3.3,14.6,Medium,Good,7,10.0,2.04,65.31
10,5000,3.3,5.0,27.3,45.8,3,5.1,4.2,Medium,Moderate,8,10.0,2.08,79.95
29,5000,5.0,5.8,33.1,63.3,6,1.9,12.0,Medium,Moderate,5,10.0,3.2,59.73
30,4500,5.3,7.7,32.6,15.6,0,9.1,10.0,Low,Good,9,10.0,3.63,64.16
23,4000,6.5,10.9,32.4,69.1,7,9.1,19.0,High,Poor,4,10.0,3.57,65.03
8,3000,5.1,8.5,31.5,41.9,4,3.1,16.3,High,Good,7,10.0,2.92,80.22
2,5000,6.0,8.9,30.7,73.7,0,1.7,9.5,Low,Moderate,7,10.0,2.63,79.34
30,4000,4.7,8.7,28.0,83.4,1,1.7,9.9,High,Good,8,10.0,1.99,64.7
39,3000,5.6,10.3,29.0,60.2,0,2.5,4.3,Medium,Moderate,7,10.0,2.27,63.04
36,3000,6.4,10.3,30.0,48.2,7,4.1,13.3,Low,Moderate,5,10.0,2.63,60.74
35,4000,8.4,11.2,34.2,68.7,7,0.5,15.7,Medium,Good,5,10.0,3.35,57.11
23,5000,4.5,4.8,30.4,73.7,2,2.8,10.6,High,Moderate,8,10.0,2.63,71.62
30,4000,5.8,10.1,32.2,24.3,0,5.9,11.3,Low,Poor,9,10.0,3.28,66.58
5,5000,7.2,11.1,30.3,61.5,2,2.3,8.4,High,Good,7,10.0,2.58,80.68
1,4500,2.6,5.6,31.6,53.7,3,1.6,14.4,Medium,Good,7,10.0,2.83,82.92
19,4000,9.5,12.9,36.2,64.9,6,3.8,3.3,Medium,Moderate,4,10.0,4.07,65.97
27,4000,7.9,11.6,35.0,65.8,5,2.8,4.4,High,Good,5,10.0,3.71,60.23
10,5000,2.1,4.1,30.1,34.1,2,5.0,14.6,Low,Moderate,8,10.0,2.73,82.4
3,5000,6.2,8.6,33.5,49.2,5,1.1,2.9,Low,Moderate,5,10.0,3.24,79.81
14,4000,4.4,7.6,32.2,34.0,1,3.9,6.8,Low,Good,9,10.0,3.13,78.11
5,3000,4.7,6.9,31.5,10.2,0,8.1,8.6,Medium,Good,9,10.0,3.28,81.13
48,3000,6.2,9.3,31.1,54.1,7,4.0,12.4,High,Moderate,5,10.0,2.89,51.94
29,3000,7.6,10.2,30.1,56.3,1,1.7,10.8,Low,Good,7,10.0,2.5,63.73
37,4500,4.6,7.1,31.7,50.6,7,0.3,0.0,Low,Good,5,10.0,2.75,57.65
1,4500,4.6,9.1,31.9,58.3,2,1.4,12.9,Low,Moderate,7,10.0,2.89,80.7
14,5000,6.2,9.8,31.9,56.5,2,2.6,8.9,Low,Poor,7,10.0,2.96,70.43
10,4500,6.6,9.2,31.1,74.4,2,0.6,15.3,Low,Good,7,10.0,2.64,72.76
7,3000,3.5,6.6,36.3,44.4,2,3.0,5.2,High,Good,7,10.0,4.04,78.01
25,4000,8.9,12.7,34.6,90.5,2,2.5,17.9,Medium,Good,6,10.0,3.6,63.27
44,4500,4.2,8.0,29.0,70.9,0,1.1,4.1,High,Good,8,10.0,2.18,59.06
43,4500,7.4,9.9,35.6,57.4,4,4.7,7.7,Medium,Good,7,10.0,3.99,50.0
4,3000,6.4,9.9,34.0,61.5,1,5.5,16.3,Medium,Good,7,10.0,3.68,77.03
5,4500,6.7,11.6,35.7,46.8,3,9.6,21.3,High,Good,7,10.0,4.39,71.68
25,5000,4.3,5.5,28.7,72.7,6,2.6,4.1,Medium,Moderate,4,10.0,2.23,70.81
3,4000,2.1,3.2,29.0,35.8,3,1.0,22.5,Medium,Good,7,10.0,2.18,82.47
18,3000,5.5,9.3,34.7,56.0,6,1.2,0.0,Medium,Good,6,10.0,3.52,65.42
19,5000,5.5,5.9,31.6,70.6,1,7.4,13.8,Medium,Good,7,10.0,3.26,69.62
32,3000,3.6,6.3,29.5,53.4,0,3.5,18.8,Low,Good,8,10.0,2.49,65.79
19,5000,7.3,10.9,25.8,61.9,1,2.8,4.8,High,Moderate,7,10.0,1.57,76.92
48,4000,5.4,9.5,33.3,80.8,7,6.5,16.1,High,Good,5,10.0,3.58,50.0
11,4000,3.9,5.0,27.3,73.0,7,1.8,7.4,Low,Good,4,10.0,1.85,79.37
46,5000,6.7,8.6,31.8,89.1,2,8.4,6.3,Low,Poor,6,10.0,3.39,53.66
0,5000,6.7,9.5,30.7,66.6,4,2.0,3.2,Low,Good,6,10.0,2.64,79.38
25,5000,4.1,5.5,28.5,69.8,7,6.0,9.6,High,Good,4,10.0,2.43,66.87
13,5000,8.0,11.7,33.1,51.2,1,3.3,10.7,Low,Moderate,8,10.0,3.31,73.47
37,5000,10.0,14.5,31.4,36.4,5,3.6,4.0,High,Moderate,6,10.0,2.93,59.86
36,5000,3.3,3.0,30.7,45.2,6,2.6,17.1,Low,Moderate,5,10.0,2.7,59.15
10,4000,5.1,7.6,35.4,34.1,6,8.3,7.0,High,Moderate,6,10.0,4.21,75.67
35,5000,6.2,9.5,28.0,70.0,0,1.6,9.8,Medium,Good,6,10.0,1.98,65.04
12,4500,10.1,14.9,34.2,86.7,2,6.8,11.2,Low,Good,7,10.0,3.83,69.54
42,4000,4.0,6.3,31.5,89.6,1,1.3,25.0,Medium,Moderate,7,10.0,2.79,56.05
2,3000,3.6,5.5,32.5,71.0,6,0.5,16.4,Low,Moderate,5,10.0,2.96,77.97
32,4000,3.6,4.0,33.3,54.6,1,4.6,14.1,High,Moderate,8,10.0,3.44,62.91
5,3000,7.9,11.6,29.6,58.4,7,3.0,7.8,Medium,Good,5,10.0,2.46,78.5
9,3000,4.1,6.2,33.2,72.2,2,3.2,11.9,Medium,Good,6,10.0,3.31,76.06
4,4500,3.8,5.5,27.0,72.4,0,0.8,12.4,Medium,Moderate,7,10.0,1.7,81.23
22,5000,6.0,7.5,30.2,32.7,4,3.0,9.8,Low,Good,6,10.0,2.6,69.71
9,5000,6.1,10.4,31.4,44.2,4,1.9,14.8,Low,Good,6,10.0,2.81,79.25
43,4000,7.6,10.5,31.9,19.5,2,11.0,25.7,Low,Good,8,10.0,3.6,53.39
1,5000,5.7,7.3,35.0,30.4,3,5.1,4.4,Medium,Moderate,7,10.0,3.89,81.65
12,4500,6.0,9.0,36.3,50.8,7,3.4,12.1,High,Moderate,4,10.0,4.07,68.39
39,4000,5.3,7.6,32.2,77.2,0,6.2,12.0,Medium,Moderate,8,10.0,3.3,56.69
1,4000,2.9,4.9,28.5,82.2,3,2.5,8.8,Medium,Moderate,6,10.0,2.17,81.13
19,4000,5.1,8.5,33.1,18.7,5,3.5,6.7,High,Moderate,7,10.0,3.33,70.01
0,5000,5.6,9.2,33.4,32.0,6,2.4,6.4,High,Good,6,10.0,3.3,82.24
36,5000,4.6,6.9,29.0,59.7,7,2.0,21.2,Medium,Poor,5,10.0,2.24,61.13
8,5000,2.4,4.1,30.1,47.3,3,4.0,10.8,Medium,Good,7,10.0,2.67,78.7
16,4000,3.2,3.3,34.7,22.8,3,6.1,15.1,High,Poor,8,10.0,3.88,70.17
8,4000,5.4,9.2,28.8,42.3,0,3.1,8.6,Medium,Moderate,8,10.0,2.3,81.93
10,3000,7.4,10.6,31.7,22.1,6,1.5,12.2,Medium,Good,6,10.0,2.84,76.55
14,3000,8.9,15.3,30.0,20.0,3,2.7,12.6,High,Moderate,6,10.0,2.53,78.18
23,5000,5.1,8.8,29.6,55.2,2,1.9,8.8,Low,Good,6,10.0,2.38,68.12
37,4000,4.1,5.9,30.0,51.5,7,2.4,11.3,Medium,Poor,5,10.0,2.52,63.01
34,5000,4.8,7.2,33.8,77.5,1,2.0,16.4,Medium,Moderate,7,10.0,3.38,59.14
29,5000,3.4,6.3,28.3,79.4,6,5.1,4.4,Low,Good,4,10.0,2.33,65.91
30,3000,7.1,8.4,33.3,40.8,6,12.8,11.1,High,Good,6,10.0,4.07,59.43
48,4500,9.8,14.5,32.5,52.6,2,2.3,12.9,Low,Good,7,10.0,3.09,50.0
4,5000,4.1,7.9,30.2,90.9,1,3.4,14.0,Medium,Good,7,10.0,2.63,79.48
43,4500,3.1,5.5,31.5,13.3,4,2.1,14.8,Low,Good,7,10.0,2.83,59.11
13,4500,7.5,10.4,30.3,21.1,3,1.8,13.6,High,Good,8,10.0,2.54,74.56
10,4000,6.1,9.5,32.0,13.8,4,2.1,16.0,Medium,Poor,7,10.0,2.96,75.55
8,4000,6.2,8.3,31.6,49.5,6,0.3,8.0,Low,Good,5,10.0,2.74,75.4
33,5000,8.7,12.7,31.2,48.0,4,5.1,17.3,Medium,Good,7,10.0,2.99,62.93
11,3000,2.8,4.5,27.6,68.5,6,0.9,10.6,High,Good,6,10.0,1.85,78.55
34,3000,2.7,4.6,28.5,71.6,7,4.4,14.4,Low,Poor,6,10.0,2.3,61.69
34,5000,5.2,8.5,28.8,83.7,0,3.2,3.5,High,Good,7,10.0,2.28,62.0
0,5000,5.6,9.7,31.6,90.3,3,2.9,13.3,Medium,Good,6,10.0,2.92,78.02
39,3000,4.8,6.0,33.1,54.9,7,5.2,10.8,Medium,Good,5,10.0,3.46,56.22
21,4500,10.4,15.7,34.0,93.6,4,4.2,8.5,High,Moderate,5,10.0,3.57,61.62
28,5000,4.9,6.5,31.5,80.9,1,5.0,16.5,Medium,Moderate,6,10.0,3.05,64.59
7,4500,4.4,6.2,31.5,61.1,1,4.9,11.1,High,Good,8,10.0,3.05,81.16
10,5000,5.7,7.9,34.8,41.5,5,4.9,11.0,High,Moderate,7,10.0,3.82,71.17
40,5000,7.4,11.7,35.8,69.0,0,3.7,2.9,High,Good,7,10.0,3.95,56.09
36,4500,4.0,7.1,29.5,15.2,4,9.0,6.6,Medium,Moderate,7,10.0,2.9,66.57
13,4500,5.2,8.9,29.8,45.9,4,3.6,10.9,High,Moderate,7,10.0,2.55,73.99
29,3000,7.5,10.1,37.1,58.6,4,11.8,6.6,Medium,Good,6,10.0,4.87,59.43
34,5000,7.6,11.3,30.0,62.7,5,1.8,17.3,High,Good,6,10.0,2.48,63.0
20,4000,5.9,7.8,31.9,52.0,5,1.2,8.5,Medium,Moderate,6,10.0,2.86,71.1
36,4000,10.3,14.3,35.9,57.1,0,5.3,5.2,Low,Moderate,7,10.0,4.1,56.6
4,5000,9.5,13.5,32.2,71.7,3,0.3,4.4,High,Good,6,10.0,2.86,76.54
18,5000,2.7,4.4,35.6,7.0,7,5.6,9.3,Low,Good,6,10.0,4.07,69.64
13,5000,2.1,3.7,31.3,64.6,7,0.7,14.3,Low,Good,5,10.0,2.69,76.07
25,4500,7.1,11.3,35.7,24.3,4,3.0,5.3,High,Good,7,10.0,3.88,63.34
3,4000,8.2,12.9,33.7,39.0,5,5.6,4.8,Low,Good,6,10.0,3.63,78.1
24,4000,5.1,6.7,33.6,26.4,4,0.8,7.1,Low,Moderate,7,10.0,3.24,67.23
44,4000,4.5,7.9,30.1,57.1,2,2.7,9.7,High,Moderate,7,10.0,2.57,55.18
41,5000,3.9,6.6,30.5,37.5,1,5.9,4.7,Low,Good,8,10.0,2.89,58.61
24,4500,3.2,4.3,31.0,10.9,5,0.4,10.6,High,Good,8,10.0,2.59,72.98
17,5000,7.8,11.3,34.0,53.6,3,3.7,17.8,High,Moderate,6,10.0,3.55,69.12
39,3000,4.7,6.4,31.0,63.8,3,2.1,9.9,Low,Good,7,10.0,2.72,58.66
7,3000,6.1,7.9,35.3,51.0,3,7.4,8.0,High,Moderate,8,10.0,4.13,73.93
38,4000,1.8,3.4,27.2,37.1,4,2.4,15.6,Low,Good,7,10.0,1.86,63.7
39,5000,7.5,12.1,34.7,46.0,2,13.0,4.2,High,Good,7,10.0,4.41,53.46
13,3000,6.7,9.1,35.7,44.3,3,3.4,12.7,High,Good,6,10.0,3.92,68.29
31,3000,2.8,3.0,26.6,23.2,0,3.1,10.1,High,Good,9,10.0,1.77,75.24
37,5000,6.0,8.1,32.5,13.6,6,1.9,18.5,Low,Moderate,6,10.0,3.06,59.71
32,4500,5.5,8.4,30.0,22.3,0,2.4,16.3,Medium,Good,8,10.0,2.52,66.86
22,5000,4.6,5.5,33.6,38.3,5,5.3,0.2,Low,Moderate,7,10.0,3.57,67.04
14,5000,1.0,3.0,28.9,59.8,1,2.6,11.0,High,Good,8,10.0,2.26,79.25
32,4500,4.2,7.3,31.1,24.0,2,1.9,2.7,Low,Moderate,8,10.0,2.74,66.89
24,4000,6.1,9.6,31.8,58.2,3,0.9,15.7,High,Good,7,10.0,2.83,65.84
16,4000,4.4,7.4,31.6,48.6,2,2.2,5.2,Medium,Good,7,10.0,2.87,76.6
32,4000,5.1,7.6,34.7,95.0,0,5.1,13.9,Medium,Poor,7,10.0,3.82,56.69
46,4500,8.5,13.2,28.5,6.6,5,1.8,15.8,Low,Good,7,10.0,2.12,59.87
1,3000,5.3,6.7,34.8,73.4,3,16.3,0.9,Low,Good,6,10.0,4.67,74.5
13,4500,1.3,3.4,30.6,48.8,4,8.3,17.4,Medium,Moderate,7,10.0,3.09,77.52
39,5000,5.1,7.2,30.0,39.6,0,0.4,15.6,Low,Moderate,9,10.0,2.36,61.96
39,4500,5.7,8.4,31.0,32.5,1,2.5,4.7,High,Good,7,10.0,2.77,62.44
38,3000,3.8,8.3,27.5,63.4,3,2.1,15.8,High,Poor,7,10.0,1.92,64.42
5,3000,7.0,10.2,33.1,82.5,6,0.6,4.0,Low,Good,5,10.0,3.11,75.84
5,5000,2.6,4.6,32.0,43.3,1,2.2,14.5,Medium,Good,8,10.0,2.98,78.59
2,4000,5.2,8.4,33.2,60.8,5,2.2,9.5,High,Moderate,6,10.0,3.25,76.1
6,3000,2.6,3.0,32.1,1.4,7,5.5,2.9,High,Moderate,6,10.0,3.25,82.4
7,3000,4.9,6.4,29.8,82.1,2,6.5,17.4,High,Good,7,10.0,2.77,74.19
41,3000,6.9,12.4,30.9,55.9,1,5.6,17.4,High,Moderate,8,10.0,2.98,54.07
14,5000,5.2,8.3,30.0,36.3,6,8.2,11.0,Medium,Moderate,6,10.0,2.94,76.03
46,3000,5.1,7.6,31.3,80.8,1,3.3,10.1,High,Moderate,7,10.0,2.89,53.23
28,4000,5.6,7.8,31.7,30.4,6,3.3,8.0,Medium,Good,6,10.0,2.98,65.39
32,5000,5.7,8.8,30.8,67.1,6,5.3,12.8,Medium,Moderate,5,10.0,2.91,58.76
29,4000,6.9,10.7,30.5,60.2,4,2.2,12.0,Medium,Good,7,10.0,2.61,66.6
38,3000,6.9,10.6,32.7,6.4,1,3.9,17.6,High,Good,9,10.0,3.24,60.07
26,3000,8.3,13.6,34.7,57.5,4,3.7,11.1,High,Moderate,6,10.0,3.71,62.82
35,4000,5.8,7.9,30.1,51.7,1,4.3,17.0,Medium,Moderate,8,10.0,2.68,65.27
28,5000,2.2,3.0,31.4,84.7,4,6.7,0.7,High,Good,6,10.0,3.16,65.7
37,5000,7.2,11.9,29.3,46.2,0,1.6,14.1,High,Good,8,10.0,2.29,60.45
32,4000,8.2,14.4,32.1,78.1,4,1.7,10.9,High,Good,5,10.0,2.95,59.77
36,3000,10.4,16.5,34.3,29.7,0,12.1,11.8,Medium,Good,8,10.0,4.25,56.45
26,4500,8.4,13.9,33.8,65.1,0,1.6,19.1,Medium,Poor,8,10.0,3.34,64.1
32,4000,4.5,6.7,31.6,21.5,5,2.3,15.5,High,Good,6,10.0,2.87,63.78
3,4000,5.9,9.1,36.4,87.3,3,4.6,8.2,High,Good,7,10.0,4.18,74.86
21,4000,5.0,7.7,31.0,58.8,0,0.4,5.7,Medium,Good,9,10.0,2.59,70.51
1,3000,4.7,7.0,33.4,37.1,3,2.1,0.4,Low,Moderate,7,10.0,3.29,79.68
9,5000,5.3,9.3,31.8,86.5,4,1.2,12.3,Medium,Poor,5,10.0,2.83,71.75
4,3000,8.1,13.2,29.0,74.3,5,0.9,16.1,High,Moderate,5,10.0,2.17,79.98
9,4000,2.3,3.1,32.7,48.7,2,6.6,16.3,Low,Moderate,8,10.0,3.45,78.63
32,3000,3.5,3.6,32.4,22.8,7,5.6,8.0,High,Good,6,10.0,3.31,61.75
37,3000,7.9,11.8,34.2,12.6,3,1.4,16.3,Medium,Poor,7,10.0,3.41,62.18
12,4000,8.4,11.5,34.3,34.1,5,6.9,16.4,High,Good,7,10.0,3.86,69.05
30,3000,4.2,6.3,30.1,48.3,2,7.2,14.8,Low,Moderate,8,10.0,2.89,67.61
46,4500,8.8,12.1,38.3,74.0,7,8.2,10.3,High,Good,5,10.0,4.89,50.0
35,3000,7.5,12.4,36.3,40.6,5,7.3,9.8,Medium,Good,5,10.0,4.36,57.21
44,3000,5.0,8.1,34.3,79.3,4,3.9,12.7,Medium,Moderate,6,10.0,3.64,52.15
23,5000,1.0,3.0,27.1,61.1,3,2.3,13.4,Medium,Moderate,7,10.0,1.84,71.92
14,5000,2.2,4.3,32.4,25.4,6,5.6,7.6,Medium,Good,5,10.0,3.32,73.76
28,4000,4.2,6.7,32.2,13.7,7,2.4,8.2,Low,Good,5,10.0,3.02,70.06
7,4000,7.0,11.1,30.6,32.0,4,4.1,11.3,High,Poor,7,10.0,2.79,77.95
4,5000,7.0,12.0,36.7,29.9,2,2.2,6.9,High,Poor,7,10.0,4.06,77.62
28,4500,4.6,6.7,32.2,60.3,4,3.1,7.5,Low,Moderate,7,10.0,3.08,64.77
46,3000,5.0,8.2,29.4,34.6,2,1.1,1.2,High,Good,8,10.0,2.27,59.14
3,4500,5.4,7.1,30.6,62.3,0,5.4,5.0,Low,Poor,7,10.0,2.86,79.26
11,4500,5.1,7.7,28.5,57.0,2,4.3,13.7,Low,Good,8,10.0,2.3,75.1
44,5000,5.8,11.0,30.6,19.2,2,0.8,15.0,Low,Moderate,8,10.0,2.54,58.15
1,4000,5.4,9.0,31.6,65.9,0,2.5,9.8,Low,Good,7,10.0,2.9,83.6
26,3000,2.2,3.1,31.3,24.9,3,6.1,14.0,Medium,Good,8,10.0,3.09,67.5
30,4000,5.1,7.9,31.8,41.7,1,1.4,0.0,Low,Good,8,10.0,2.85,65.66
35,4500,5.5,8.2,30.0,79.6,3,1.5,12.1,Low,Poor,7,10.0,2.45,62.5
35,4500,7.5,11.5,33.5,52.0,1,2.7,2.7,Medium,Good,8,10.0,3.36,61.87
25,4000,3.8,5.4,30.7,63.1,0,1.8,5.8,Low,Good,8,10.0,2.64,68.34
42,4000,5.9,9.4,30.8,81.4,3,9.1,13.2,Low,Good,7,10.0,3.21,51.78
26,5000,6.6,10.5,30.9,94.9,4,1.8,14.1,Medium,Good,5,10.0,2.68,60.37
4,4000,5.2,7.8,31.1,14.7,5,2.1,0.5,Low,Good,7,10.0,2.75,80.73
19,4000,2.0,3.1,29.9,47.3,6,0.2,1.7,High,Good,6,10.0,2.33,72.83
10,5000,7.5,11.6,33.6,47.2,4,2.6,6.6,Low,Moderate,6,10.0,3.36,75.67
9,4000,7.0,10.0,34.1,19.9,3,5.6,1.0,Medium,Moderate,7,10.0,3.7,75.65
39,4500,6.0,9.4,30.1,62.2,4,5.2,7.9,Low,Poor,6,10.0,2.74,60.47
37,4000,5.6,9.2,30.9,74.1,0,5.4,14.3,Low,Good,7,10.0,2.94,60.14
5,3000,1.9,4.4,30.8,34.4,4,4.9,2.2,Medium,Good,8,10.0,2.9,84.61
7,4500,7.0,10.9,35.5,39.7,5,10.3,20.1,Medium,Good,5,10.0,4.38,70.19
22,5000,8.5,12.2,33.9,19.0,7,4.0,8.7,High,Good,4,10.0,3.54,68.2
46,4500,3.3,4.8,29.0,49.9,7,2.0,11.9,High,Good,5,10.0,2.24,54.74
25,5000,8.2,11.1,32.9,56.9,5,2.2,4.9,High,Good,6,10.0,3.17,67.69
45,3000,7.8,12.4,28.9,82.1,7,2.5,15.2,High,Moderate,4,10.0,2.26,51.61
42,3000,3.2,3.0,29.4,76.2,7,1.7,11.2,Medium,Good,5,10.0,2.32,57.74
11,4500,4.7,8.1,31.8,67.9,4,4.3,11.3,High,Moderate,6,10.0,3.08,75.77
25,4000,2.7,5.2,31.0,56.1,1,5.8,11.9,High,Moderate,7,10.0,3.01,67.02
12,4500,5.4,5.1,31.1,60.2,5,2.3,3.5,Medium,Good,6,10.0,2.77,72.47
39,4500,6.4,10.9,33.9,67.9,1,7.0,12.1,Low,Poor,7,10.0,3.76,57.34
17,3000,2.9,5.3,33.1,72.8,2,1.1,13.5,Low,Poor,6,10.0,3.13,71.83
24,5000,6.3,9.1,31.9,79.2,7,0.4,2.3,Low,Good,5,10.0,2.82,65.85
32,4500,6.8,9.0,30.7,24.7,0,2.2,8.7,Low,Moderate,9,10.0,2.67,69.21
46,4000,6.8,9.4,31.1,18.6,4,0.5,8.5,Low,Moderate,6,10.0,2.62,57.87
39,3000,6.4,8.9,28.1,83.4,0,1.5,10.2,Medium,Moderate,7,10.0,2.01,59.93
42,4500,3.0,5.9,27.6,58.3,0,3.6,13.6,High,Good,8,10.0,2.05,61.81
11,4500,5.3,7.4,31.6,48.6,7,0.7,14.1,High,Moderate,6,10.0,2.76,73.11
43,4000,6.2,10.2,36.0,44.1,1,3.4,9.5,High,Good,8,10.0,4.0,55.85
35,4500,8.4,12.5,31.1,13.8,5,1.9,14.8,Low,Good,7,10.0,2.73,62.54
47,4500,5.5,8.3,30.8,52.9,6,4.9,3.1,Medium,Good,6,10.0,2.88,52.91
3,4500,6.4,8.0,31.0,21.5,4,0.9,11.3,Low,Good,7,10.0,2.62,85.89
4,4500,3.6,4.3,29.6,69.8,6,1.9,0.0,Medium,Good,5,10.0,2.38,79.78
36,4000,3.2,6.1,34.3,92.9,7,1.6,7.5,Medium,Moderate,4,10.0,3.46,57.44
7,4500,2.9,4.2,29.6,61.0,2,3.7,12.4,Low,Good,7,10.0,2.52,79.61
41,4500,4.7,7.3,30.5,52.7,3,2.0,13.6,Medium,Good,7,10.0,2.59,59.16
48,4500,9.6,16.2,39.0,72.8,6,4.8,11.5,Low,Moderate,5,10.0,4.8,50.0
27,3000,4.7,6.9,32.7,31.1,7,3.7,17.9,High,Good,4,10.0,3.25,64.88
30,4000,6.2,9.2,34.2,82.6,7,3.1,10.5,Medium,Moderate,4,10.0,3.55,58.66
8,3000,6.6,11.1,30.5,55.2,2,2.6,1.5,Medium,Moderate,7,10.0,2.64,77.1
28,3000,3.3,5.0,31.0,70.4,1,9.5,0.0,High,Good,8,10.0,3.28,63.5
13,4000,4.6,7.3,27.9,76.6,2,3.4,5.0,High,Moderate,7,10.0,2.1,75.96
39,3000,6.7,11.1,35.8,60.2,1,4.2,5.0,Medium,Moderate,7,10.0,4.0,57.21
40,3000,6.4,9.5,35.0,39.3,1,4.1,10.2,High,Good,7,10.0,3.8,56.55
21,3000,1.5,3.1,27.0,45.9,6,2.1,7.2,High,Moderate,6,10.0,1.78,73.78
10,4000,6.7,9.9,31.2,68.1,0,0.4,5.2,Medium,Good,8,10.0,2.64,77.79
22,4500,4.4,7.6,31.9,42.4,5,9.0,7.1,Low,Moderate,6,10.0,3.45,69.96
0,5000,4.5,7.1,28.1,79.6,4,2.3,8.3,Medium,Good,6,10.0,2.06,84.79
45,5000,6.3,9.2,31.1,42.3,7,4.0,5.8,Medium,Good,4,10.0,2.9,55.74
36,4000,8.5,12.9,34.7,20.5,3,9.4,10.2,Low,Good,7,10.0,4.13,61.23
20,5000,5.1,5.2,28.2,55.0,7,2.1,14.7,High,Good,5,10.0,2.08,69.82
25,4000,7.9,13.0,33.2,48.1,1,2.7,6.8,Medium,Good,7,10.0,3.27,66.25
45,4000,2.6,3.0,28.7,20.9,1,7.3,10.4,High,Poor,9,10.0,2.57,62.66
35,5000,5.8,7.6,33.0,78.4,7,2.0,20.3,High,Good,5,10.0,3.18,56.84
22,3000,4.4,6.2,29.8,54.5,6,1.2,11.2,Low,Moderate,5,10.0,2.38,66.92
0,4500,6.1,7.3,29.2,75.9,6,0.7,15.5,Medium,Good,5,10.0,2.2,83.41
39,5000,4.9,7.8,35.6,48.4,7,15.3,7.6,Low,Moderate,5,10.0,4.78,50.71
14,5000,2.8,4.6,33.3,50.1,0,8.7,15.8,Low,Moderate,8,10.0,3.76,74.65
20,5000,3.7,5.1,28.5,55.3,3,0.2,6.0,Low,Good,8,10.0,1.99,75.74
46,5000,2.2,3.0,31.8,69.3,1,5.4,13.0,Medium,Good,7,10.0,3.15,54.22
8,4000,2.9,3.6,31.9,56.2,4,9.2,15.4,Medium,Good,7,10.0,3.46,75.13
8,4000,6.5,10.3,28.7,77.0,6,3.1,17.7,Low,Moderate,6,10.0,2.27,74.2
9,4500,5.0,5.9,27.2,76.9,6,2.4,10.6,Medium,Good,5,10.0,1.85,78.82
25,4500,6.0,8.5,36.1,14.5,4,2.5,8.7,Medium,Poor,7,10.0,3.94,68.13
40,5000,9.1,12.2,32.6,52.7,0,8.3,3.1,High,Good,8,10.0,3.56,57.39
34,5000,4.9,8.1,32.3,47.2,1,1.6,9.6,High,Good,7,10.0,2.98,60.72
24,5000,6.8,9.8,31.0,37.2,3,1.6,14.0,Low,Moderate,7,10.0,2.69,70.44
